time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.2635250673535266e-08,-8.027294311905883e-08,10.00326719710971,6.282901582413984,5.087558837058026e-05,0.0,-4.103103993171618e-06,-1.5007508902669817e-05,0.10890164191442675,-0.016438601108723177,0.0024921620572969814,0.0,440.13468115799736,440.3408347102901,439.8731862893829,438.5100862612305
0.12000000000000001,-2.9612292881704875e-06,-1.1635481251803876e-05,10.016003546019611,6.282278844237366,0.0007495766301692797,0.0,-0.0001483566305157647,-0.0004624134671940017,0.31560829273973345,-0.00040266543380595987,0.025528526820906693,0.0,469.00796403600026,470.7933408457722,468.6058167925895,469.85059731710874
0.18,-3.428356074024933e-05,-5.919420295895588e-05,10.039010537486341,6.281887327159922,0.0022429027614476738,0.0,-0.0010579840360359126,-0.001140551205616626,0.45124676682199705,-0.023042024266873032,0.023577706613842155,0.0,448.5753892258741,448.4170619623438,448.8044030541572,446.9635041159649
0.23999999999999996,-0.0001474605576965802,-0.000158553345067479,10.068272142381126,6.280304331574619,0.003642858942668248,0.0,-0.002852411146586316,-0.002315670952407447,0.5241083353785356,-0.03407993458813245,0.02283789315621199,0.0,428.3521163770485,428.2892828314267,429.0111653093497,428.0728729793945
0.3,-0.00039415696882146055,-0.000359712274876663,10.101355700766353,6.278828951555374,0.005364170591083628,0.0,-0.005519895765538723,-0.004552749012011881,0.5786493178238665,-0.01031704190045023,0.038376151239825566,0.0,421.7480681139978,423.0880630266505,421.6204779863522,423.6680140539736
0.36000000000000004,-0.0008659438618766463,-0.0007400562229762702,10.142526004966028,6.278653571130214,0.00830890999922751,0.0,-0.010524758783006127,-0.008168469755861035,0.7935672460304836,0.008815380338496643,0.06470308445841348,0.0,470.8279765665398,472.8613828352438,472.09737629729915,473.5711565622834
0.4200000000000001,-0.0016707993271795687,-0.001314987620882036,10.191667693232919,6.2794363025180004,0.0123691800835104,0.0,-0.016680186573145038,-0.010932554568991044,0.8444490786872741,0.02038932168076111,0.07302708189487404,0.0,421.5641328476122,422.28637457723534,420.96729386080483,421.9673808001523
0.48000000000000015,-0.0029363872348168087,-0.0020416110105896897,10.244734751737267,6.280642670203601,0.017103590185393536,0.0,-0.02595868398787682,-0.013167679858849491,0.9243852183425743,0.01953369088604521,0.0886310041420979,0.0,431.0206881463255,432.34233011309743,430.85260328281043,430.7802542309902
0.5400000000000001,-0.004932510925342283,-0.0028879241442413307,10.306788555778772,6.281359865673309,0.02208846392437991,0.0,-0.04119581857211189,-0.014919960386245747,1.1438695030435377,-0.010953388853328142,0.06866965708632357,0.0,475.055294390287,473.5274248070478,475.31000286181796,472.9680046787309
0.6000000000000002,-0.007921518841731595,-0.0038272136460536627,10.380382296047465,6.28035505738513,0.02645170794199103,0.0,-0.0589085622225212,-0.01647796505686291,1.3090686033106627,-0.03203704796101646,0.07978855473304401,0.0,458.7702302450352,459.65600681823054,458.60674411333616,456.92924563857144
0.6600000000000003,-0.01207138033696437,-0.004887513422250559,10.463752597012043,6.278035301291506,0.03163457143276194,0.0,-0.0799709299438889,-0.019094204868293087,1.4697312520431065,-0.05717537770224722,0.09706971075572336,0.0,457.68961794349985,459.06859234015536,457.6700581081158,455.66421393149176
0.7200000000000003,-0.017608901631303818,-0.0061630866180941235,10.556858419573377,6.275127468374308,0.03771594484905272,0.0,-0.1052706612188188,-0.023772120780941198,1.6335504118681532,-0.03510515503553867,0.10878016559767453,0.0,457.5677768131967,458.5074957041626,458.9731188680325,460.7197499603144
0.7800000000000004,-0.024789635967532038,-0.0077769622880395585,10.659409608350655,6.272976355515501,0.04421803154655635,0.0,-0.13479220297183478,-0.030254710857589004,1.7845661394120307,-0.037388434080699987,0.10753174205791381,0.0,456.15214400603753,456.06245742397454,455.1433138126913,454.96001289566766
0.8400000000000004,-0.03393025754867876,-0.009837344854054107,10.771992697418803,6.271425697895733,0.050230134824256645,0.0,-0.1706023054368969,-0.03863052581042662,1.9678670112157266,-0.009322867654762944,0.07856387115307979,0.0,467.5598186074109,465.3054746307472,464.2387018229483,466.4352984608829
0.9000000000000005,-0.045364444072839086,-0.012432904016166426,10.895826069408871,6.2704192564430805,0.05479242864528011,0.0,-0.2110567260708734,-0.04796565624208521,2.159536515826324,-0.03902828359244066,0.07044013290994133,0.0,468.69484369417273,468.0673029377502,470.92330993705167,468.6200493346079
0.9600000000000005,-0.05907933693624068,-0.015559940160423056,11.026633147158654,6.268392722567274,0.05896203063293548,0.0,-0.24649432827030762,-0.05646967913654267,2.200591365485958,-0.024928795802626226,0.06753030211527576,0.0,424.3212063977695,424.0752621891622,420.7853177503269,422.00350334324804
1.0200000000000005,-0.07536898448915755,-0.01932374646271856,11.166073180859458,6.268014942637629,0.06360305016795742,0.0,-0.2970086320297278,-0.06908064059499448,2.446873567028367,0.016597944669646675,0.09199379127311852,0.0,485.1374107361628,486.97471641897874,484.4534744617192,487.56578937052376
1.0800000000000005,-0.09470960242777111,-0.023820364159877136,11.318702236351585,6.2691008486749915,0.06880705725180292,0.0,-0.3482761226202182,-0.08067893328680441,2.6402861905530695,0.02094197216020878,0.07331298703115252,0.0,472.67581450056707,471.2396481559334,471.3294342678317,471.66494912353437
